namespace,pod,node_name,cpu_usage_cores,mem_bytes,cpu_request_cores,collected_at
api-gateway,auth,worker-node-3,0.092979,263848133,0.25,2026-06-08 14:35:17
api-gateway,proxy,worker-node-2,0.167817,266814154,0.25,2026-06-08 14:35:17
billing,api-7d9f,worker-node-1,0.123194,551277776,0.2,2026-06-08 14:35:17
billing,db-replica,worker-node-3,0.579507,2211802792,0.5,2026-06-08 14:35:17
billing,worker-2,worker-node-1,0.349901,1053851424,0.5,2026-06-08 14:35:17
logging,elasticsearch,worker-node-2,0.852126,2122279005,1.0,2026-06-08 14:35:17
logging,kibana,worker-node-3,0.192358,534637719,0.5,2026-06-08 14:35:17
ml-inference,gpu-0,worker-node-1,1.233892,4293080134,2.0,2026-06-08 14:35:17
ml-inference,gpu-1,worker-node-2,1.120425,4289894577,2.0,2026-06-08 14:35:17
monitoring,prometheus,worker-node-1,0.023174,546985540,0.1,2026-06-08 14:35:17
api-gateway,auth,worker-node-3,0.122377,275522645,0.25,2026-06-08 14:35:36
api-gateway,proxy,worker-node-2,0.227933,281466771,0.25,2026-06-08 14:35:36
billing,api-7d9f,worker-node-1,0.168761,518524728,0.2,2026-06-08 14:35:36
billing,db-replica,worker-node-3,0.78361,2202035994,0.5,2026-06-08 14:35:36
billing,worker-2,worker-node-1,0.483878,1109536416,0.5,2026-06-08 14:35:36
logging,elasticsearch,worker-node-2,1.178314,2134550851,1.0,2026-06-08 14:35:36
logging,kibana,worker-node-3,0.257126,553962008,0.5,2026-06-08 14:35:36
ml-inference,gpu-0,worker-node-1,1.663331,4443298791,2.0,2026-06-08 14:35:36
ml-inference,gpu-1,worker-node-2,1.458902,4092116868,2.0,2026-06-08 14:35:36
monitoring,prometheus,worker-node-1,0.030934,528084412,0.1,2026-06-08 14:35:36
api-gateway,auth,worker-node-3,0.148954,257017795,0.25,2026-06-08 14:35:51
api-gateway,proxy,worker-node-2,0.280748,255699351,0.25,2026-06-08 14:35:51
billing,api-7d9f,worker-node-1,0.208996,530971214,0.2,2026-06-08 14:35:51
billing,db-replica,worker-node-3,0.979175,2203052452,0.5,2026-06-08 14:35:51
billing,worker-2,worker-node-1,0.595129,1114586257,0.5,2026-06-08 14:35:51
logging,elasticsearch,worker-node-2,1.484775,2126468520,1.0,2026-06-08 14:35:51
logging,kibana,worker-node-3,0.323556,515297888,0.5,2026-06-08 14:35:51
ml-inference,gpu-0,worker-node-1,2.075907,4496685614,2.0,2026-06-08 14:35:51
ml-inference,gpu-1,worker-node-2,1.845122,4258791127,2.0,2026-06-08 14:35:51
monitoring,prometheus,worker-node-1,0.039772,510865122,0.1,2026-06-08 14:35:51
api-gateway,auth,worker-node-3,0.181038,262616195,0.25,2026-06-08 14:36:10
api-gateway,proxy,worker-node-2,0.330375,261942935,0.25,2026-06-08 14:36:10
billing,api-7d9f,worker-node-1,0.247406,553371486,0.2,2026-06-08 14:36:10
billing,db-replica,worker-node-3,1.166198,2149316001,0.5,2026-06-08 14:36:10
billing,worker-2,worker-node-1,0.703256,1053978940,0.5,2026-06-08 14:36:10
logging,elasticsearch,worker-node-2,1.793445,2178657357,1.0,2026-06-08 14:36:10
logging,kibana,worker-node-3,0.398941,515295288,0.5,2026-06-08 14:36:10
ml-inference,gpu-0,worker-node-1,2.500803,4490203613,2.0,2026-06-08 14:36:10
ml-inference,gpu-1,worker-node-2,2.264429,4368115561,2.0,2026-06-08 14:36:10
monitoring,prometheus,worker-node-1,0.048556,524336273,0.1,2026-06-08 14:36:10
api-gateway,auth,worker-node-3,0.209207,263018835,0.25,2026-06-08 14:36:25
api-gateway,proxy,worker-node-2,0.38131,270921349,0.25,2026-06-08 14:36:25
billing,api-7d9f,worker-node-1,0.288909,513990762,0.2,2026-06-08 14:36:25
billing,db-replica,worker-node-3,1.323711,2228639979,0.5,2026-06-08 14:36:25
billing,worker-2,worker-node-1,0.822486,1122187331,0.5,2026-06-08 14:36:25
logging,elasticsearch,worker-node-2,2.104071,2080398221,1.0,2026-06-08 14:36:25
logging,kibana,worker-node-3,0.479027,552343184,0.5,2026-06-08 14:36:25
ml-inference,gpu-0,worker-node-1,2.965576,4366724273,2.0,2026-06-08 14:36:25
ml-inference,gpu-1,worker-node-2,2.643175,4138527034,2.0,2026-06-08 14:36:25
monitoring,prometheus,worker-node-1,0.055557,520468731,0.1,2026-06-08 14:36:25
api-gateway,auth,worker-node-3,0.243001,270259860,0.25,2026-06-08 14:36:43
api-gateway,proxy,worker-node-2,0.443816,272146905,0.25,2026-06-08 14:36:43
billing,api-7d9f,worker-node-1,0.327732,550621007,0.2,2026-06-08 14:36:43
billing,db-replica,worker-node-3,1.51533,2117634466,0.5,2026-06-08 14:36:43
billing,worker-2,worker-node-1,0.948805,1023994223,0.5,2026-06-08 14:36:43
logging,elasticsearch,worker-node-2,2.374967,2071337844,1.0,2026-06-08 14:36:43
logging,kibana,worker-node-3,0.544592,512336668,0.5,2026-06-08 14:36:43
ml-inference,gpu-0,worker-node-1,3.341831,4446458121,2.0,2026-06-08 14:36:43
ml-inference,gpu-1,worker-node-2,3.06937,4115702815,2.0,2026-06-08 14:36:43
monitoring,prometheus,worker-node-1,0.06257,522054128,0.1,2026-06-08 14:36:43
api-gateway,auth,worker-node-3,0.27448,271058926,0.25,2026-06-08 14:36:59
api-gateway,proxy,worker-node-2,0.490763,264875010,0.25,2026-06-08 14:36:59
billing,api-7d9f,worker-node-1,0.37021,550744610,0.2,2026-06-08 14:36:59
billing,db-replica,worker-node-3,1.683063,2047135292,0.5,2026-06-08 14:36:59
