node_name,watts_consumed,watts_average,watts_max,watts_min,watts_capacity,collected_at
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:31:38
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:31:38
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:31:38
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:32:42
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:32:42
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:32:42
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:33:47
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:33:47
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:33:47
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:34:52
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:34:52
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:34:52
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:35:55
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:35:55
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:35:55
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:37:00
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:37:00
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:37:00
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:38:05
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:38:05
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:38:05
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:39:10
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:39:10
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:39:10
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:40:16
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:40:16
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:40:16
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:41:21
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:41:21
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:41:21
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:42:26
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:42:26
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:42:26
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:43:29
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:43:29
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:43:29
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:44:35
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:44:35
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:44:35
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:45:40
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:45:40
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:45:40
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:46:46
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:46:46
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:46:46
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:47:52
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:47:52
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:47:52
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:48:58
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:48:58
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:48:58
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:50:04
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:50:04
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:50:04
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:51:07
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:51:07
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:51:07
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:52:13
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:52:13
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:52:13
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:53:18
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:53:18
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:53:18
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:54:24
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:54:24
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:54:24
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:55:31
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:55:31
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:55:31
worker-node-1,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:56:37
worker-node-2,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:56:37
worker-node-3,344.00,319.00,489.00,271.00,800.00,2026-06-08 14:56:37
